date,employee_name,shift_start,shift_end,holiday_date,ridership,day_of_week,month,is_weekend,station_mean_ridership,station_id_STN02,station_id_STN03,station_id_STN04,station_id_STN05,weather_Cloudy,weather_Rain,weather_Storm,shift_type_morning,shift_type_night
2024-01-01,Juan Dela Cruz,06:00,14:00,01/01/2024,9200.0,0,1,0,8968.60465116279,False,False,False,False,False,True,False,True,False
2024-01-01,Emily Brown,14:00,22:00,01/01/2024,7800.0,0,1,0,7645.3488372093025,False,True,False,False,False,True,False,False,False
2024-01-01,Mark Reyes,22:00,06:00,01/01/2024,6500.0,0,1,0,6731.395348837209,True,False,False,False,True,False,False,False,True
2024-01-01,John Smith,06:00,14:00,01/01/2024,11000.0,0,1,0,11616.279069767443,False,False,False,True,False,True,False,True,False
2024-01-01,Ana Santos,14:00,22:00,01/01/2024,7200.0,0,1,0,7226.7441860465115,False,False,True,False,False,False,False,False,False
2024-02-01,Maria Lopez,06:00,14:00,,8500.0,3,2,0,8968.60465116279,False,False,False,False,False,False,False,True,False
2024-02-01,Robert Johnson,14:00,22:00,,6900.0,3,2,0,6731.395348837209,True,False,False,False,True,False,False,False,False
2024-02-01,Paolo Chua,22:00,06:00,,7600.0,3,2,0,7645.3488372093025,False,True,False,False,False,True,False,False,True
2024-02-01,Jessica Miller,06:00,14:00,,7000.0,3,2,0,7226.7441860465115,False,False,True,False,False,False,False,True,False
2024-02-01,Carlos Lim,14:00,22:00,,11500.0,3,2,0,11616.279069767443,False,False,False,True,False,True,False,False,False
2024-03-01,Lea Ramos,06:00,14:00,,6400.0,4,3,0,6731.395348837209,True,False,False,False,True,False,False,True,False
2024-03-01,Daniel Carter,14:00,22:00,,8800.0,4,3,0,8968.60465116279,False,False,False,False,False,False,False,False,False
2024-03-01,Jose Tan,22:00,06:00,,7700.0,4,3,0,7645.3488372093025,False,True,False,False,False,True,False,False,True
2024-03-01,Michael Davis,06:00,14:00,,10800.0,4,3,0,11616.279069767443,False,False,False,True,False,False,False,True,False
2024-03-01,Grace Villanueva,14:00,22:00,,7100.0,4,3,0,7226.7441860465115,False,False,True,False,True,False,False,False,False
2024-04-01,Kevin Wilson,06:00,14:00,,9000.0,0,4,0,8968.60465116279,False,False,False,False,False,False,False,True,False
2024-04-01,Patricia Gomez,14:00,22:00,,6800.0,0,4,0,6731.395348837209,True,False,False,False,False,True,False,False,False
2024-04-01,Andrew Lee,22:00,06:00,,7500.0,0,4,0,7645.3488372093025,False,True,False,False,True,False,False,False,True
2024-04-01,Michelle Young,06:00,14:00,,7200.0,0,4,0,7226.7441860465115,False,False,True,False,False,False,False,True,False
2024-04-01,Francis Cruz,14:00,22:00,,11200.0,0,4,0,11616.279069767443,False,False,False,True,False,True,False,False,False
2024-05-01,Steven Clark,06:00,14:00,,6600.0,2,5,0,6731.395348837209,True,False,False,False,False,True,False,True,False
2024-05-01,Angela Torres,14:00,22:00,,9300.0,2,5,0,8968.60465116279,False,False,False,False,False,False,False,False,False
2024-05-01,Jason Wright,22:00,06:00,,7400.0,2,5,0,7645.3488372093025,False,True,False,False,True,False,False,False,True
